,open,high,low,close,volume,date
2021-09-29 01:11:00,41703.74,41703.75,41703.74,41703.75,0.0,2021-09-29
2021-09-29 01:10:00,41700.0,41762.8,41673.11,41703.74,55.0,2021-09-29
2021-09-29 01:09:00,41678.88,41700.0,41656.49,41699.99,19.0,2021-09-29
2021-09-29 01:08:00,41641.78,41689.28,41639.07,41678.88,16.0,2021-09-29
2021-09-29 01:07:00,41575.35,41648.16,41575.35,41641.78,29.0,2021-09-29
2021-09-29 01:06:00,41560.4,41590.4,41555.01,41575.35,11.0,2021-09-29
2021-09-29 01:05:00,41606.94,41648.92,41555.0,41560.39,21.0,2021-09-29
2021-09-29 01:04:00,41649.37,41664.77,41600.08,41606.94,16.0,2021-09-29
2021-09-29 01:03:00,41602.41,41661.74,41591.32,41649.38,15.0,2021-09-29
2021-09-29 01:02:00,41558.41,41602.44,41542.6,41602.41,8.0,2021-09-29
2021-09-29 01:01:00,41619.99,41619.99,41531.03,41558.41,23.0,2021-09-29
2021-09-29 01:00:00,41596.21,41658.33,41596.2,41620.0,24.0,2021-09-29
2021-09-29 00:59:00,41555.31,41600.0,41531.12,41596.2,16.0,2021-09-29
2021-09-29 00:58:00,41609.55,41619.02,41550.91,41555.32,16.0,2021-09-29
2021-09-29 00:57:00,41613.08,41657.14,41609.54,41609.54,15.0,2021-09-29
2021-09-29 00:56:00,41613.72,41639.83,41580.01,41613.09,24.0,2021-09-29
2021-09-29 00:55:00,41599.99,41618.6,41565.01,41613.72,14.0,2021-09-29
2021-09-29 00:54:00,41549.7,41599.3,41546.77,41599.3,12.0,2021-09-29
2021-09-29 00:53:00,41532.83,41590.0,41515.32,41544.62,30.0,2021-09-29
2021-09-29 00:52:00,41440.65,41534.93,41435.51,41532.83,19.0,2021-09-29
2021-09-29 00:51:00,41432.03,41482.57,41414.65,41440.64,25.0,2021-09-29
2021-09-29 00:50:00,41396.07,41439.74,41395.56,41432.02,17.0,2021-09-29
2021-09-29 00:49:00,41472.93,41530.16,41398.11,41398.12,35.0,2021-09-29
2021-09-29 00:48:00,41499.76,41530.17,41472.92,41472.93,21.0,2021-09-29
2021-09-29 00:47:00,41576.31,41576.32,41495.92,41498.57,39.0,2021-09-29
2021-09-29 00:46:00,41578.3,41583.25,41572.14,41576.32,8.0,2021-09-29
2021-09-29 00:45:00,41605.67,41622.96,41574.55,41578.3,14.0,2021-09-29
2021-09-29 00:44:00,41607.59,41655.32,41596.1,41605.67,21.0,2021-09-29
2021-09-29 00:43:00,41585.97,41637.53,41583.01,41607.59,39.0,2021-09-29
2021-09-29 00:42:00,41583.79,41601.34,41567.95,41585.98,33.0,2021-09-29
2021-09-29 00:41:00,41608.46,41625.58,41583.79,41583.79,35.0,2021-09-29
2021-09-29 00:40:00,41732.02,41745.18,41606.0,41608.45,38.0,2021-09-29
2021-09-29 00:39:00,41690.48,41760.0,41655.69,41732.01,55.0,2021-09-29
2021-09-29 00:38:00,41611.03,41743.45,41590.65,41686.7,67.0,2021-09-29
2021-09-29 00:37:00,41575.47,41613.76,41534.0,41611.03,50.0,2021-09-29
2021-09-29 00:36:00,41595.18,41597.34,41514.12,41575.46,35.0,2021-09-29
2021-09-29 00:35:00,41523.06,41619.91,41520.39,41595.18,68.0,2021-09-29
2021-09-29 00:34:00,41504.96,41564.13,41488.63,41518.0,43.0,2021-09-29
2021-09-29 00:33:00,41520.63,41520.63,41479.47,41504.96,30.0,2021-09-29
2021-09-29 00:32:00,41438.12,41541.34,41413.25,41520.63,83.0,2021-09-29
2021-09-29 00:31:00,41283.76,41526.44,41267.56,41438.11,169.0,2021-09-29
2021-09-29 00:30:00,41375.37,41391.82,41272.79,41283.77,74.0,2021-09-29
2021-09-29 00:29:00,41290.95,41472.92,41279.4,41377.36,130.0,2021-09-29
2021-09-29 00:28:00,41082.55,41379.99,41082.54,41290.96,124.0,2021-09-29
2021-09-29 00:27:00,41055.62,41082.55,41051.0,41082.54,17.0,2021-09-29
2021-09-29 00:26:00,41028.06,41085.55,41025.87,41055.61,26.0,2021-09-29
2021-09-29 00:25:00,41019.48,41046.34,40977.07,41028.05,25.0,2021-09-29
2021-09-29 00:24:00,41024.36,41031.07,40968.5,41019.48,16.0,2021-09-29
2021-09-29 00:23:00,40989.09,41043.53,40980.23,41024.35,35.0,2021-09-29
2021-09-29 00:22:00,40932.65,41010.83,40932.65,40989.09,32.0,2021-09-29
2021-09-29 00:21:00,40890.3,40959.89,40860.61,40932.66,44.0,2021-09-29
2021-09-29 00:20:00,40862.29,40963.09,40845.04,40892.36,52.0,2021-09-29
2021-09-29 00:19:00,40927.71,40978.21,40825.56,40862.28,54.0,2021-09-29
2021-09-29 00:18:00,40871.56,40942.09,40829.0,40927.71,54.0,2021-09-29
2021-09-29 00:17:00,40857.49,40883.42,40824.01,40871.56,31.0,2021-09-29
2021-09-29 00:16:00,40783.68,40863.0,40770.39,40857.49,53.0,2021-09-29
2021-09-29 00:15:00,40841.94,40915.27,40753.88,40783.69,200.0,2021-09-29
2021-09-29 00:14:00,40891.92,40946.57,40814.65,40838.85,92.0,2021-09-29
2021-09-29 00:13:00,40927.85,40959.99,40800.0,40891.92,174.0,2021-09-29
2021-09-29 00:12:00,41017.94,41024.11,40899.33,40927.86,49.0,2021-09-29
2021-09-29 00:11:00,41027.08,41052.15,40981.79,41019.55,35.0,2021-09-29
2021-09-29 00:10:00,41171.72,41171.72,41027.07,41028.11,43.0,2021-09-29
2021-09-29 00:09:00,41171.07,41177.46,41132.29,41171.73,24.0,2021-09-29
2021-09-29 00:08:00,41152.66,41186.8,41111.87,41171.08,38.0,2021-09-29
2021-09-29 00:07:00,41183.84,41196.99,41150.0,41152.66,28.0,2021-09-29
2021-09-29 00:06:00,41169.67,41195.47,41161.24,41183.84,30.0,2021-09-29
2021-09-29 00:05:00,41133.47,41175.9,41113.55,41169.68,30.0,2021-09-29
2021-09-29 00:04:00,41093.19,41163.39,41034.6,41133.52,59.0,2021-09-29
2021-09-29 00:03:00,41081.08,41099.25,40982.98,41088.2,107.0,2021-09-29
2021-09-29 00:02:00,41032.61,41125.33,41018.28,41081.07,88.0,2021-09-29
2021-09-29 00:01:00,41003.82,41093.68,40993.77,41032.61,64.0,2021-09-29
2021-09-29 00:00:00,41025.01,41035.74,40979.84,41003.83,45.0,2021-09-29
2021-09-28 23:59:00,40986.5,41064.73,40977.72,41026.54,37.0,2021-09-28
2021-09-28 23:58:00,40933.05,41029.54,40910.0,40986.49,35.0,2021-09-28
2021-09-28 23:57:00,41000.01,41013.61,40924.2,40933.04,32.0,2021-09-28
